gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B-cells	CAF	Endothelial cells	Macrophages	NK	T-cells
FGF2	P09038	False	FGF2_HUMAN		CPI-SS03DA2A820	0.53664	7.3569	0.31738	0.08008	0.11038	0.65652
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	7.68347	8.02768	50.00437	6168.62337	18.556	10.94276
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	87.80992	10.02253	133.33959	216.78264	67.66681	41.25683
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.95656	44.32167	0.0	29.03477	0.0	0.52434
FGF2	P09038	False	FGF2_HUMAN		CPI-SS008FB916C	0.53664	7.3569	0.31738	0.08008	0.11038	0.65652
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0D9366D11	0.08499	10.86937	0.0	0.0	0.89382	0.67065
TNFRSF10A	O00220	False	TR10A_HUMAN		CPI-SS044CF7EAE	49.10116	2.51819	24.23098	7.62549	20.7829	35.77218
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0AC594A8E	0.0	0.0	0.0	0.0	0.0	0.00563
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0D4CA5D92	0.0	2.18768	0.41616	0.0	0.0	0.12699
FGF19	O95750	False	FGF19_HUMAN		CPI-SS07A03C20F	0.00946	0.0	0.0	0.0	0.0	0.10779
FGF4	P08620	False	FGF4_HUMAN		CPI-SS02896561C	0.0	0.0	0.0	0.0	0.0	0.00226
FGF6	P10767	False	FGF6_HUMAN		CPI-SS0FA481114	0.0	0.0	0.37586	0.0	0.0	0.0
FGF3	P11487	False	FGF3_HUMAN		CPI-SS05ECF1933	0.12076	0.0	0.0	0.0	0.0	0.2856
FGF5	P12034	False	FGF5_HUMAN		CPI-SS066347638	27.7783	55.65686	15.57437	7.62836	22.73929	26.20189
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0D95D41D6	0.32987	210.52745	0.0	0.35921	0.40192	0.70778
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	0.53664	7.3569	0.31738	0.08008	0.11038	0.65652
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0755A26DD	0.08499	10.86937	0.0	0.0	0.89382	0.67065
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0467AFD8A	0.0	0.0	0.0	0.0	0.0	0.00563
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F2C6A4D4	0.0	2.18768	0.41616	0.0	0.0	0.12699
FGF19	O95750	False	FGF19_HUMAN		CPI-SS070A3A7E5	0.00946	0.0	0.0	0.0	0.0	0.10779
FGF4	P08620	False	FGF4_HUMAN		CPI-SS0FFB9E01B	0.0	0.0	0.0	0.0	0.0	0.00226
FGF6	P10767	False	FGF6_HUMAN		CPI-SS014E486AB	0.0	0.0	0.37586	0.0	0.0	0.0
FGF10	O15520	False	FGF10_HUMAN		CPI-SS03189F5F6	0.072	1.96846	0.0	0.0	0.0	0.24342
FGF2	P09038	False	FGF2_HUMAN		CPI-SS05A94DE17	0.53664	7.3569	0.31738	0.08008	0.11038	0.65652
FGF1	P05230	False	FGF1_HUMAN		CPI-SS04A97448D	0.08499	10.86937	0.0	0.0	0.89382	0.67065
CD44	P16070	False	CD44_HUMAN		CPI-SS06B86672A	222.94236	247.23811	8.56518	291.3464	344.60419	329.53753
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0330D939A	0.0	0.0	0.0	0.0	0.0	0.00563
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F6A7A4DF	0.0	2.18768	0.41616	0.0	0.0	0.12699
FGF4	P08620	False	FGF4_HUMAN		CPI-SS0D67110B0	0.0	0.0	0.0	0.0	0.0	0.00226
FGF6	P10767	False	FGF6_HUMAN		CPI-SS08883E9F6	0.0	0.0	0.37586	0.0	0.0	0.0
FGF3	P11487	False	FGF3_HUMAN		CPI-SS06D341996	0.12076	0.0	0.0	0.0	0.0	0.2856
FGF5	P12034	False	FGF5_HUMAN		CPI-SS02FEAF02E	27.7783	55.65686	15.57437	7.62836	22.73929	26.20189
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0E928B8C8	0.32987	210.52745	0.0	0.35921	0.40192	0.70778
FGF10	O15520	False	FGF10_HUMAN		CPI-SS0AECC113F	0.072	1.96846	0.0	0.0	0.0	0.24342
TIMP1	P01033	False	TIMP1_HUMAN		CPI-SS0735F5C3A	16.4251	5796.32251	1257.3816	1925.95805	126.8479	58.16953
TFF1	P04155	False	TFF1_HUMAN		CPI-SS04640F9C3	0.82235	0.0	0.0	0.18269	1.6471	0.08326
ROS1	P08922	False	ROS1_HUMAN		CPI-SS0DC322B61	0.21027	4.60177	0.27093	0.01365	0.0	0.086
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0348DB5E3	2.34853	77.02376	35.3757	1.17549	1.91655	8.13256
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0D636A374	0.53664	7.3569	0.31738	0.08008	0.11038	0.65652
FGF1	P05230	False	FGF1_HUMAN		CPI-SS015819E65	0.08499	10.86937	0.0	0.0	0.89382	0.67065
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0BC9F7E9E	0.0	0.0	0.0	0.0	0.0	0.00563
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0E134097C	0.0	2.18768	0.41616	0.0	0.0	0.12699
FGF4	P08620	False	FGF4_HUMAN		CPI-SS013E86AFF	0.0	0.0	0.0	0.0	0.0	0.00226
FGF6	P10767	False	FGF6_HUMAN		CPI-SS0F9EE20C3	0.0	0.0	0.37586	0.0	0.0	0.0
FGF3	P11487	False	FGF3_HUMAN		CPI-SS0C2A73A10	0.12076	0.0	0.0	0.0	0.0	0.2856
FGF5	P12034	False	FGF5_HUMAN		CPI-SS076D8A297	27.7783	55.65686	15.57437	7.62836	22.73929	26.20189
FGF7	P21781	False	FGF7_HUMAN		CPI-SS00E68BB92	0.32987	210.52745	0.0	0.35921	0.40192	0.70778
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0BF3ED143	6.75161	5.38388	5.03848	3.08555	4.2252	7.57642
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0CB6968B9	0.53664	7.3569	0.31738	0.08008	0.11038	0.65652
SPP1	P10451	False	OSTP_HUMAN		CPI-SS04297753E	7.68347	8.02768	50.00437	6168.62337	18.556	10.94276
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0ADC886E5	41.75106	1.30674	1.22648	1040.08733	5438.33422	2098.93036
CCL16	O15467	False	CCL16_HUMAN		CPI-SS03A875239	16.96789	9.07875	21.39869	8.04942	13.61404	15.32099
CCL1	P22362	False	CCL1_HUMAN		CPI-SS0B784A03E	0.0	0.0	0.0	0.0	0.0	0.1087
SPP1	P10451	False	OSTP_HUMAN		CPI-SS0C1BD22BC	7.68347	8.02768	50.00437	6168.62337	18.556	10.94276
FGF1	P05230	False	FGF1_HUMAN		CPI-SS068C742A1	0.08499	10.86937	0.0	0.0	0.89382	0.67065
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	4.29441	5.67188	5.25327	5.40647	12.11878	6.07589
INHA	P05111	False	INHA_HUMAN		CPI-SS0FB37E079	0.0	0.0	0.0	0.0	0.0	0.06169
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SS0D46E2B45	3.96834	96.51704	7.12338	0.21777	1.97377	1.92891
TGFB2	P61812	False	TGFB2_HUMAN		CPI-SS0178F5C45	0.58182	4.81126	15.13702	0.66182	0.0	0.19892
FCER2	P06734	False	FCER2_HUMAN		CPI-SS000568A0E	348.42831	10.98312	0.10092	15.80304	0.12135	2.08909
IFNA1	P01562	False	IFNA1_HUMAN		CPI-SS027556893	0.0	0.0	0.0	0.0	0.0	0.08265
IFNA13	P01562	False	IFNA1_HUMAN		CPI-SS027556893	0.0	0.0	0.0	0.0	0.0	1.24416
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SS0ACD487F0	0.53943	0.36179	4.99932	0.72775	0.0	0.75289
JAM2	P57087	False	JAM2_HUMAN		CPI-SS087B53ABF	15.68944	29.1022	88.46057	6.19904	13.71177	13.09058
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS0F9D53834	9.97986	89.62658	36.52922	0.0104	7.62888	0.82424
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS0D41E15AC	12.17066	6.37328	13.29129	27.26816	11.2901	11.82952
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS01158CABF	12.17066	6.37328	13.29129	27.26816	11.2901	11.82952
HLA-C	HLAC	False	HLAC		CPI-SS034D36D2F	2067.36408	865.4887	2843.77517	4087.84725	4496.81758	3829.10916
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	2.05234	7.8678	20.03185	12.26129	3.55427	5.70818
GLRA2	P23416	False	GLRA2_HUMAN		CPI-SS02904BE32	0.14474	0.0	0.0	0.04214	0.0	0.08887
KIR2DL3	P43628	False	KI2L3_HUMAN		CPI-SS02CF96625	1.68146	0.0	0.28984	0.0	54.93251	4.87776
CXADR	P78310	False	CXAR_HUMAN		CPI-SS033CB0BB2	7.48416	1.96589	23.69144	3.43768	9.53899	8.25498
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0E2431C09	2.95826	0.0	0.72645	0.36809	18.26076	364.66035
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS00FB3CB09	12.17066	6.37328	13.29129	27.26816	11.2901	11.82952
PGRMC2	O15173	False	PGRC2_HUMAN		CPI-SS0F3D40856	3.36812	14.34992	8.05703	2.93944	4.30998	7.86956
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS072E1E27A	12.17066	6.37328	13.29129	27.26816	11.2901	11.82952
HLA-C	HLAC	False	HLAC		CPI-SS0917CBD53	2067.36408	865.4887	2843.77517	4087.84725	4496.81758	3829.10916
BMP10	O95393	False	BMP10_HUMAN		CPI-SS025CAD24A	0.35189	0.73869	0.0	0.0	0.0	0.1772
GAST	P01350	False	GAST_HUMAN		CPI-SS079FD6EC6	0.0	0.0	0.0	0.0	0.0	0.09436
HLA-C	HLAC	False	HLAC		CPI-SS0E91E504D	2067.36408	865.4887	2843.77517	4087.84725	4496.81758	3829.10916
HLA-C	HLAC	False	HLAC		CPI-SS0ABD11350	2067.36408	865.4887	2843.77517	4087.84725	4496.81758	3829.10916
ASGR2	P07307	False	ASGR2_HUMAN		CPI-SS04A4A2334	0.0174	0.0	0.0	25.86241	0.0	0.11229
CNR2	P34972	False	CNR2_HUMAN		CPI-SS00E3EB9FE	182.07711	0.0	0.0	0.14944	0.0	3.06297
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS064281234	2.05234	7.8678	20.03185	12.26129	3.55427	5.70818
KIR2DL3	P43628	False	KI2L3_HUMAN		CPI-SS0D26F639E	1.68146	0.0	0.28984	0.0	54.93251	4.87776
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS02246DA17	25.82683	4.14279	0.12215	0.07984	163.00564	207.97667
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0F52745F3	0.69347	25.5794	9.36897	0.0	8.54076	21.15992
FCGR2A	P12318	False	FCG2A_HUMAN		CPI-SS0C17BB772	4.42223	1.49541	24.55032	661.0748	2.08404	4.02606
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS016EE0084	2.95826	0.0	0.72645	0.36809	18.26076	364.66035
CD80	P33681	False	CD80_HUMAN		CPI-SS08F13AD5C	13.50759	0.0	0.0	12.37734	2.16688	11.53691
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0F5B6B186	2.95826	0.0	0.72645	0.36809	18.26076	364.66035
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0D795AC00	0.35586	38.07833	1.90661	0.01762	1.42341	0.11321
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0B02DE712	0.35586	38.07833	1.90661	0.01762	1.42341	0.11321
HLA-DPB1	HLADPB1	False	HLADPB1		CPI-SS076BC3BA6	703.45549	18.60204	72.16516	1151.74134	47.48945	133.35479
EGF	P01133	False	EGF_HUMAN		CPI-SS00A953C3A	1.18895	0.49213	0.44999	0.32587	0.21461	0.83041
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS0BF9FA3F2	6.2385	4.34801	5.96516	5.69001	6.62692	6.27879
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0F4D30D5A	0.35586	38.07833	1.90661	0.01762	1.42341	0.11321
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0E25CE362	0.35586	38.07833	1.90661	0.01762	1.42341	0.11321
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0055264F3	0.35586	38.07833	1.90661	0.01762	1.42341	0.11321
EGFR	P00533	False	EGFR_HUMAN		CPI-SS00EDDD458	0.35586	38.07833	1.90661	0.01762	1.42341	0.11321
CD74	P04233	False	HG2A_HUMAN		CPI-SS0ABC5C1B8	19684.73114	755.85385	3201.94406	23610.04111	1347.37694	2330.24452
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0481D83A4	0.35586	38.07833	1.90661	0.01762	1.42341	0.11321
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0D4C221B8	31.064	103.1133	170.01423	359.53298	135.81359	27.33849
EGFR	P00533	False	EGFR_HUMAN		CPI-SS08CA619FE	0.35586	38.07833	1.90661	0.01762	1.42341	0.11321
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	2.73577	141.01268	193.85493	127.6228	101.35719	33.87683
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS054D158CC	0.02946	3.0163	0.13985	0.0	0.08058	3.18579
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0C4E86714	41.83867	41.40513	57.6908	281.22786	115.41336	283.99868
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0A19E9C34	0.35586	38.07833	1.90661	0.01762	1.42341	0.11321
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS06BC4D123	6.2385	4.34801	5.96516	5.69001	6.62692	6.27879
EGFR	P00533	False	EGFR_HUMAN		CPI-SS088A0A760	0.35586	38.07833	1.90661	0.01762	1.42341	0.11321
CD74	P04233	False	HG2A_HUMAN		CPI-SS0302E8E8F	19684.73114	755.85385	3201.94406	23610.04111	1347.37694	2330.24452
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0E6E8A727	0.02946	3.0163	0.13985	0.0	0.08058	3.18579
MTNR1B	P49286	False	MTR1B_HUMAN		CPI-SS04C3EC52C	0.0	0.0	0.0	0.0	0.0	0.25966
EGFR	P00533	False	EGFR_HUMAN		CPI-SS07F042076	0.35586	38.07833	1.90661	0.01762	1.42341	0.11321
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0C10824C7	0.35586	38.07833	1.90661	0.01762	1.42341	0.11321
CD44	P16070	False	CD44_HUMAN		CPI-SS0632A027A	222.94236	247.23811	8.56518	291.3464	344.60419	329.53753
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS03098AC28	0.55852	0.11541	0.18262	0.11833	0.0	0.34398
HLA-DPB1	HLADPB1	False	HLADPB1		CPI-SS05D23BCE8	703.45549	18.60204	72.16516	1151.74134	47.48945	133.35479
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS03C51D352	86.56085	2.38022	0.50029	0.14286	0.0	2.26324
TFRC	P02786	False	TFR1_HUMAN		CPI-SS03133B4F2	41.11423	45.69514	5.2016	46.1233	15.95767	50.36801
CD40	P25942	False	TNR5_HUMAN		CPI-SS0F00D756A	264.00885	69.0555	89.10716	80.66592	19.06039	4.50185
TNFRSF17	Q02223	False	TNR17_HUMAN		CPI-SS0E2863F09	33.43496	0.0	0.20708	0.0	0.0	0.13797
TNFRSF13C	Q96RJ3	False	TR13C_HUMAN		CPI-SS09648FAA9	16.30959	0.0959	0.0	0.0	0.0	1.12716
CD74	P04233	False	HG2A_HUMAN		CPI-SS09808DEAE	19684.73114	755.85385	3201.94406	23610.04111	1347.37694	2330.24452
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS09C4FCB90	31.064	103.1133	170.01423	359.53298	135.81359	27.33849
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0E9A581F8	31.064	103.1133	170.01423	359.53298	135.81359	27.33849
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0A4F27388	2.73577	141.01268	193.85493	127.6228	101.35719	33.87683
TNFRSF10B	O14763	False	TR10B_HUMAN		CPI-SS0049FD74F	44.18592	41.12213	81.46393	28.73913	9.5991	31.81811
TNFRSF6B	O95407	False	TNF6B_HUMAN		CPI-SS00086659A	2.6838	129.01904	169.92693	8.07691	9.89583	2.6516
FAS	P25445	False	TNR6_HUMAN		CPI-SS03A0C857B	5.40252	72.61463	1.10261	17.99648	48.16333	71.98423
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS004A073E1	0.02946	3.0163	0.13985	0.0	0.08058	3.18579
NGFR	P08138	False	TNR16_HUMAN		CPI-SS0ADA587B4	0.30227	34.29501	0.03231	0.8492	0.0	0.35255
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0B1AB068C	0.02946	3.0163	0.13985	0.0	0.08058	3.18579
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0391D4602	0.02946	3.0163	0.13985	0.0	0.08058	3.18579
ADORA2A	P29274	False	AA2AR_HUMAN		CPI-SS00A6D366F	31.51304	3.09612	2.42645	8.19383	1.49791	77.41913
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS05D1A6BEF	0.02946	3.0163	0.13985	0.0	0.08058	3.18579
CD44	P16070	False	CD44_HUMAN		CPI-SS06F83AE58	222.94236	247.23811	8.56518	291.3464	344.60419	329.53753
CEACAM1	P13688	False	CEAM1_HUMAN		CPI-SS0BDC04683	10.94734	0.34477	59.9271	3.25929	0.08231	7.23828
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS074CF011C	0.55852	0.11541	0.18262	0.11833	0.0	0.34398
KLRF2	D3W0D1	False	KLRF2_HUMAN		CPI-SS04C8BC444	0.03217	0.0	0.0	0.0	0.0	0.00442
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0DE0A486F	0.55838	221.75999	190.66506	101.38019	5.75068	12.4178
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0E00478B4	3.44208	17.72972	93.5778	19.49719	0.0	1.38728
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0855C0353	0.55838	221.75999	190.66506	101.38019	5.75068	12.4178
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0D22A09AD	3.44208	17.72972	93.5778	19.49719	0.0	1.38728
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0E61DB5DF	9.83801	4.20568	115.45104	8.49425	8.1604	8.83679
NRP1	O14786	False	NRP1_HUMAN		CPI-SS033E6DE7E	0.55838	221.75999	190.66506	101.38019	5.75068	12.4178
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0947A8549	9.83801	4.20568	115.45104	8.49425	8.1604	8.83679
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS098425155	34.02709	5.41238	27.96213	23.83246	201.46144	26.80682
NRP1	O14786	False	NRP1_HUMAN		CPI-SS08083B141	0.55838	221.75999	190.66506	101.38019	5.75068	12.4178
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0F15C1AB3	3.44208	17.72972	93.5778	19.49719	0.0	1.38728
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0241A1F57	3.44208	17.72972	93.5778	19.49719	0.0	1.38728
HLA-A	HLAA	False	HLAA		CPI-SS0CBAA9BCC	1723.33815	1065.52686	3964.28192	3459.81219	3990.61684	4304.83277
BMP10	O95393	False	BMP10_HUMAN		CPI-SS00F977575	0.35189	0.73869	0.0	0.0	0.0	0.1772
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS048242083	271.63742	99.16447	471.04691	297.46878	921.47557	588.8077
BMP10	O95393	False	BMP10_HUMAN		CPI-SS0B26EEF21	0.35189	0.73869	0.0	0.0	0.0	0.1772
GAST	P01350	False	GAST_HUMAN		CPI-SS094C06AA8	0.0	0.0	0.0	0.0	0.0	0.09436
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0268D47AD	41.75106	1.30674	1.22648	1040.08733	5438.33422	2098.93036
IGF2	P01344	False	IGF2_HUMAN		CPI-SS016B111FE	0.00449	106.78684	4.2522	0.175	0.0	0.15297
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0714977CA	1.2973	5.64442	0.0	0.11667	2.41234	0.3722
IFNA8	P32881	False	IFNA8_HUMAN		CPI-SS000171CB7	0.58132	0.0	0.0	0.29968	0.0	0.68286
ADIPOQ	Q15848	False	ADIPO_HUMAN		CPI-SS0E1389B57	4.7825	1.68099	3.00335	1.7746	6.34983	4.88891
CCL4L2	Q8NHW4	False	CC4L_HUMAN		CPI-SS0A866903F	6.27722	0.11803	0.77664	290.64696	355.35529	941.46657
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS0BDD10277	271.63742	99.16447	471.04691	297.46878	921.47557	588.8077
HLA-B	HLAB	False	HLAB		CPI-SS0987A89AE	3429.03665	1491.89853	5083.09394	6115.03685	6925.11628	6051.88903
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS0A76A8E97	271.63742	99.16447	471.04691	297.46878	921.47557	588.8077
INS	P01308	False	INS_HUMAN		CPI-SS0323A2952	0.0	0.0	0.0	0.0	0.0	0.01958
CD1D	P15813	False	CD1D_HUMAN		CPI-SS0EAB03260	29.27751	1.79281	2.2977	35.57473	0.79576	1.02423
HLA-G	P17693	False	HLAG_HUMAN		CPI-SS0DBA81CCF	21.40712	11.7946	25.66997	37.9151	53.12205	37.08554
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS00150FB64	271.63742	99.16447	471.04691	297.46878	921.47557	588.8077
INS	P01308	False	INS_HUMAN		CPI-SS0EF2E7F3B	0.0	0.0	0.0	0.0	0.0	0.01958
HLA-G	P17693	False	HLAG_HUMAN		CPI-SS05CE87F88	21.40712	11.7946	25.66997	37.9151	53.12205	37.08554
GAST	P01350	False	GAST_HUMAN		CPI-SS0830AF8E6	0.0	0.0	0.0	0.0	0.0	0.09436
CCK	P06307	False	CCKN_HUMAN		CPI-SS00AD71822	0.58552	0.41393	0.0	0.0	0.0	0.12023
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0D1D95883	41.75106	1.30674	1.22648	1040.08733	5438.33422	2098.93036
CCL3	P10147	False	CCL3_HUMAN		CPI-SS0C090A257	8.07489	2.62824	0.0	1776.94713	3025.16366	446.74132
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0B01D306C	301.10232	123.45878	136.67333	141.14064	4140.40975	3237.10593
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0795802F6	41.75106	1.30674	1.22648	1040.08733	5438.33422	2098.93036
CSF1	P09603	False	CSF1_HUMAN		CPI-SS03105D292	0.45701	64.68317	40.77786	8.13442	4.87541	41.94741
CCL4	P13236	False	CCL4_HUMAN		CPI-SS05BA6D9C3	41.75106	1.30674	1.22648	1040.08733	5438.33422	2098.93036
CCL4	P13236	False	CCL4_HUMAN		CPI-SS008F83E02	41.75106	1.30674	1.22648	1040.08733	5438.33422	2098.93036
IGF2	P01344	False	IGF2_HUMAN		CPI-SS0A3569604	0.00449	106.78684	4.2522	0.175	0.0	0.15297
INS	P01308	False	INS_HUMAN		CPI-SS06908C6CC	0.0	0.0	0.0	0.0	0.0	0.01958
CCL3	P10147	False	CCL3_HUMAN		CPI-SS076D8415B	8.07489	2.62824	0.0	1776.94713	3025.16366	446.74132
GCG	P01275	False	GLUC_HUMAN		CPI-SS01A29DD97	0.01177	0.0	0.0	0.0	0.0	0.23689
IAPP	P10997	False	IAPP_HUMAN		CPI-SS0FC2B68F1	35.15123	8.16775	21.9353	12.20801	25.84883	36.96127
IGF2	P01344	False	IGF2_HUMAN		CPI-SS0579FA162	0.00449	106.78684	4.2522	0.175	0.0	0.15297
IGF1	P05019	False	IGF1_HUMAN		CPI-SS0E41702C1	4.04182	143.47571	57.47384	35.57075	2.61731	3.40936
IGF2	P01344	False	IGF2_HUMAN		CPI-SS042A6F835	0.00449	106.78684	4.2522	0.175	0.0	0.15297
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	1.2973	5.64442	0.0	0.11667	2.41234	0.3722
NTF3	P20783	False	NTF3_HUMAN		CPI-SS093E05DD4	0.0	1.68576	0.87182	0.0	0.0	0.00182
NTF4	P34130	False	NTF4_HUMAN		CPI-SS088C1035B	0.0	0.0	0.0	0.0	0.0	0.04041
BDNF	P23560	False	BDNF_HUMAN		CPI-SS09A36B221	1.2973	5.64442	0.0	0.11667	2.41234	0.3722
GRN	P28799	False	GRN_HUMAN		CPI-SS07CCAD9BF	238.35052	415.89864	851.80427	1931.87715	74.741	53.3304
COPA	P53621	False	COPA_HUMAN		CPI-SS04F3A1E5C	38.97007	150.25799	74.19011	67.27197	68.82303	67.6971
BDNF	P23560	False	BDNF_HUMAN		CPI-SS03F0B666C	1.2973	5.64442	0.0	0.11667	2.41234	0.3722
ADIPOQ	Q15848	False	ADIPO_HUMAN		CPI-SS04A8E4200	4.7825	1.68099	3.00335	1.7746	6.34983	4.88891
